Semivariogram           tail:tb__real0    head:tb__real0     direction  1 
   1        5.385      2.59916    76110        3.00020        2.98209
   2       10.770      3.18764    74240        3.02304        2.98692
   3       16.155      3.75167    72390        3.04234        2.98997
   4       21.541      4.22161    70560        3.06056        2.99595
   5       26.926      4.68663    68750        3.07874        3.00786
   6       32.311      5.07991    66960        3.09704        3.02469
   7       37.696      5.48704    65190        3.11610        3.04270
   8       43.081      5.69375    63440        3.14371        3.05862
   9       48.466      5.83796    61710        3.17519        3.07053
  10       53.852      6.01418    60000        3.19633        3.07789
  11       59.237      6.14023    58310        3.22306        3.08387
  12       64.622      6.26002    56640        3.24478        3.09105
  13       70.007      6.26898    54990        3.25860        3.09172
  14       75.392      6.28930    53360        3.26513        3.08227
  15       80.777      6.34190    51750        3.26379        3.06305
Semivariogram           tail:tb__real0    head:tb__real0     direction  2 
   1        5.385      3.23615    75990        2.98175        3.00447
   2       10.770      4.30880    74000        2.99067        3.03819
   3       16.155      5.30074    72030        2.99675        3.06671
   4       21.541      6.08219    70080        2.99846        3.08075
   5       26.926      6.64154    68150        2.99381        3.08172
   6       32.311      7.19953    66240        2.97566        3.07886
   7       37.696      7.61984    64350        2.95048        3.08283
   8       43.081      7.83138    62480        2.91584        3.08804
   9       48.466      7.76331    60630        2.87599        3.09109
  10       53.852      7.46981    58800        2.83019        3.09264
  11       59.237      7.10456    56990        2.76960        3.09568
  12       64.622      6.77957    55200        2.71307        3.10225
  13       70.007      6.63737    53430        2.67569        3.11181
  14       75.392      6.60630    51680        2.65479        3.12850
  15       80.777      6.63432    49950        2.62747        3.14940
