Semivariogram           tail:tb__real5    head:tb__real5     direction  1 
   1        5.385      2.65361    76110        2.98737        2.97002
   2       10.770      3.33151    74240        3.00729        2.97593
   3       16.155      3.98124    72390        3.02840        2.98907
   4       21.541      4.50475    70560        3.04920        3.00748
   5       26.926      4.90113    68750        3.06432        3.02836
   6       32.311      5.20642    66960        3.08005        3.05108
   7       37.696      5.53067    65190        3.09778        3.07138
   8       43.081      5.71346    63440        3.11777        3.08849
   9       48.466      5.87548    61710        3.13989        3.10631
  10       53.852      6.07467    60000        3.16171        3.11530
  11       59.237      6.26661    58310        3.18619        3.11988
  12       64.622      6.45290    56640        3.20501        3.12592
  13       70.007      6.51565    54990        3.22291        3.13013
  14       75.392      6.57926    53360        3.23465        3.12990
  15       80.777      6.71012    51750        3.24014        3.12648
Semivariogram           tail:tb__real5    head:tb__real5     direction  2 
   1        5.385      3.29548    75990        2.97747        2.99363
   2       10.770      4.40538    74000        2.98347        3.02372
   3       16.155      5.45582    72030        2.98104        3.05148
   4       21.541      6.33833    70080        2.97682        3.07069
   5       26.926      7.00646    68150        2.97062        3.08409
   6       32.311      7.58655    66240        2.95669        3.08737
   7       37.696      7.93418    64350        2.93696        3.08855
   8       43.081      8.12229    62480        2.90340        3.08822
   9       48.466      8.03395    60630        2.86018        3.08668
  10       53.852      7.93166    58800        2.81575        3.08412
  11       59.237      7.57010    56990        2.75439        3.08068
  12       64.622      7.21020    55200        2.69669        3.09139
  13       70.007      6.88890    53430        2.65353        3.10767
  14       75.392      6.62774    51680        2.62836        3.12800
  15       80.777      6.67233    49950        2.61740        3.15104
