Semivariogram           tail:tb__real6    head:tb__real6     direction  1 
   1        5.385      2.60619    76110        3.00366        2.97948
   2       10.770      3.26431    74240        3.02881        2.98064
   3       16.155      3.91426    72390        3.05207        2.98385
   4       21.541      4.49341    70560        3.07048        2.98795
   5       26.926      4.99896    68750        3.08505        2.99468
   6       32.311      5.42217    66960        3.10109        3.00852
   7       37.696      5.82875    65190        3.11402        3.02715
   8       43.081      6.13302    63440        3.12433        3.04581
   9       48.466      6.40851    61710        3.14130        3.06281
  10       53.852      6.63943    60000        3.16003        3.07780
  11       59.237      6.78525    58310        3.18558        3.08880
  12       64.622      6.90502    56640        3.20891        3.10194
  13       70.007      6.95682    54990        3.22761        3.11072
  14       75.392      6.99572    53360        3.24046        3.10762
  15       80.777      7.10316    51750        3.24470        3.09833
Semivariogram           tail:tb__real6    head:tb__real6     direction  2 
   1        5.385      3.30415    75990        2.99132        3.00409
   2       10.770      4.48944    74000        2.99926        3.02772
   3       16.155      5.62037    72030        2.99675        3.05527
   4       21.541      6.53710    70080        2.99030        3.07614
   5       26.926      7.12485    68150        2.98196        3.08103
   6       32.311      7.59911    66240        2.97132        3.07830
   7       37.696      7.86922    64350        2.95850        3.08224
   8       43.081      8.02241    62480        2.92913        3.08755
   9       48.466      7.98539    60630        2.88212        3.08751
  10       53.852      7.76973    58800        2.83138        3.08597
  11       59.237      7.43724    56990        2.76916        3.07599
  12       64.622      7.23269    55200        2.71188        3.06689
  13       70.007      7.21013    53430        2.67303        3.06445
  14       75.392      7.17892    51680        2.65390        3.07485
  15       80.777      7.27168    49950        2.63547        3.09667
