Semivariogram           tail:tb__real2    head:tb__real2     direction  1 
   1        5.385      2.62624    76110        3.02639        3.00184
   2       10.770      3.26474    74240        3.04426        2.99908
   3       16.155      3.85510    72390        3.06108        3.00420
   4       21.541      4.36704    70560        3.07754        3.01324
   5       26.926      4.80783    68750        3.09743        3.02648
   6       32.311      5.17288    66960        3.11579        3.04692
   7       37.696      5.54991    65190        3.13191        3.07588
   8       43.081      5.80056    63440        3.14940        3.10010
   9       48.466      6.06936    61710        3.17295        3.11864
  10       53.852      6.32335    60000        3.19843        3.13038
  11       59.237      6.53093    58310        3.22948        3.13677
  12       64.622      6.67347    56640        3.25323        3.14074
  13       70.007      6.71147    54990        3.26979        3.14047
  14       75.392      6.72831    53360        3.28039        3.13147
  15       80.777      6.75906    51750        3.28689        3.11811
Semivariogram           tail:tb__real2    head:tb__real2     direction  2 
   1        5.385      3.27846    75990        3.00928        3.02035
   2       10.770      4.39363    74000        3.00906        3.04301
   3       16.155      5.41913    72030        3.00600        3.07768
   4       21.541      6.13376    70080        2.99606        3.10099
   5       26.926      6.63222    68150        2.98541        3.11088
   6       32.311      7.09057    66240        2.96915        3.11223
   7       37.696      7.48875    64350        2.94548        3.11393
   8       43.081      7.85645    62480        2.90136        3.11855
   9       48.466      7.95855    60630        2.84513        3.12134
  10       53.852      7.87413    58800        2.78806        3.13268
  11       59.237      7.61840    56990        2.72124        3.14873
  12       64.622      7.31933    55200        2.66535        3.16675
  13       70.007      7.14354    53430        2.62145        3.19161
  14       75.392      6.99596    51680        2.60070        3.22537
  15       80.777      7.06292    49950        2.58384        3.25852
