Semivariogram           tail:tb__real7    head:tb__real7     direction  1 
   1        5.385      2.55539    76110        2.92480        2.91952
   2       10.770      3.14733    74240        2.93919        2.92239
   3       16.155      3.70701    72390        2.95677        2.92503
   4       21.541      4.20572    70560        2.97418        2.92989
   5       26.926      4.65737    68750        2.99187        2.93827
   6       32.311      5.06399    66960        3.01038        2.95224
   7       37.696      5.46659    65190        3.02896        2.97503
   8       43.081      5.73366    63440        3.05310        2.99957
   9       48.466      5.94924    61710        3.08088        3.02499
  10       53.852      6.17726    60000        3.10638        3.04468
  11       59.237      6.33210    58310        3.13528        3.05995
  12       64.622      6.45148    56640        3.15708        3.07223
  13       70.007      6.48933    54990        3.17149        3.07512
  14       75.392      6.50890    53360        3.17754        3.06703
  15       80.777      6.53571    51750        3.17629        3.05307
Semivariogram           tail:tb__real7    head:tb__real7     direction  2 
   1        5.385      3.26101    75990        2.91403        2.93934
   2       10.770      4.33658    74000        2.91647        2.96573
   3       16.155      5.26238    72030        2.92426        2.99522
   4       21.541      6.02605    70080        2.92309        3.01285
   5       26.926      6.47077    68150        2.91315        3.01602
   6       32.311      6.88311    66240        2.89092        3.01544
   7       37.696      7.30830    64350        2.87126        3.02591
   8       43.081      7.50094    62480        2.83369        3.03644
   9       48.466      7.49460    60630        2.78289        3.04515
  10       53.852      7.34616    58800        2.71844        3.05048
  11       59.237      6.96294    56990        2.63795        3.05613
  12       64.622      6.63149    55200        2.57729        3.06246
  13       70.007      6.48392    53430        2.53987        3.06394
  14       75.392      6.44497    51680        2.52124        3.06791
  15       80.777      6.69119    49950        2.50179        3.08504
