Semivariogram           tail:tb__real8    head:tb__real8     direction  1 
   1        5.385      2.57157    76110        2.97455        2.95729
   2       10.770      3.23474    74240        2.99946        2.96195
   3       16.155      3.91091    72390        3.02698        2.96698
   4       21.541      4.51116    70560        3.05411        2.97423
   5       26.926      5.02768    68750        3.07756        2.98290
   6       32.311      5.45800    66960        3.09554        2.99578
   7       37.696      5.85247    65190        3.11135        3.01509
   8       43.081      6.09490    63440        3.13095        3.03083
   9       48.466      6.33585    61710        3.15213        3.04145
  10       53.852      6.57073    60000        3.17240        3.04261
  11       59.237      6.71098    58310        3.19964        3.03401
  12       64.622      6.81151    56640        3.22059        3.02281
  13       70.007      6.79074    54990        3.23981        3.00633
  14       75.392      6.80485    53360        3.25370        2.98586
  15       80.777      6.85966    51750        3.26087        2.96666
Semivariogram           tail:tb__real8    head:tb__real8     direction  2 
   1        5.385      3.30769    75990        2.96922        2.96960
   2       10.770      4.61457    74000        2.98380        2.99291
   3       16.155      5.76245    72030        2.97954        3.02171
   4       21.541      6.58724    70080        2.96501        3.04090
   5       26.926      7.08003    68150        2.95121        3.04871
   6       32.311      7.61223    66240        2.93567        3.04489
   7       37.696      7.91825    64350        2.92098        3.04028
   8       43.081      8.04513    62480        2.89373        3.04220
   9       48.466      7.90246    60630        2.84664        3.04760
  10       53.852      7.62962    58800        2.79350        3.05221
  11       59.237      7.26847    56990        2.72503        3.06170
  12       64.622      6.92431    55200        2.66507        3.07885
  13       70.007      6.71105    53430        2.61918        3.10355
  14       75.392      6.71834    51680        2.58915        3.13403
  15       80.777      6.91069    49950        2.56639        3.16789
