Semivariogram           tail:tb__real4    head:tb__real4     direction  1 
   1        5.385      2.62848    76110        2.99580        2.97935
   2       10.770      3.30950    74240        3.01003        2.98292
   3       16.155      3.89856    72390        3.02336        2.99279
   4       21.541      4.36378    70560        3.03667        3.00402
   5       26.926      4.71754    68750        3.04471        3.01892
   6       32.311      5.01555    66960        3.05522        3.03957
   7       37.696      5.34873    65190        3.06743        3.06163
   8       43.081      5.59038    63440        3.08089        3.08013
   9       48.466      5.80120    61710        3.09604        3.09767
  10       53.852      6.00016    60000        3.11082        3.11312
  11       59.237      6.12494    58310        3.13103        3.12432
  12       64.622      6.23402    56640        3.14775        3.13752
  13       70.007      6.23729    54990        3.15657        3.14860
  14       75.392      6.26254    53360        3.16071        3.14861
  15       80.777      6.33725    51750        3.16302        3.14047
Semivariogram           tail:tb__real4    head:tb__real4     direction  2 
   1        5.385      3.27523    75990        2.98710        3.01148
   2       10.770      4.41160    74000        2.98413        3.04651
   3       16.155      5.43708    72030        2.96407        3.08418
   4       21.541      6.25520    70080        2.93602        3.12224
   5       26.926      6.88049    68150        2.91276        3.14223
   6       32.311      7.40982    66240        2.88233        3.14465
   7       37.696      7.79872    64350        2.85977        3.13629
   8       43.081      7.97128    62480        2.82405        3.12846
   9       48.466      7.79317    60630        2.76742        3.11955
  10       53.852      7.55990    58800        2.70763        3.11398
  11       59.237      7.26123    56990        2.63898        3.10676
  12       64.622      7.00063    55200        2.57501        3.10611
  13       70.007      6.78782    53430        2.52519        3.11949
  14       75.392      6.76565    51680        2.49147        3.15616
  15       80.777      6.89597    49950        2.46204        3.19130
