Semivariogram           tail:tb__real3    head:tb__real3     direction  1 
   1        5.385      2.57626    76110        2.93486        2.91054
   2       10.770      3.21480    74240        2.95673        2.90499
   3       16.155      3.83649    72390        2.98163        2.90437
   4       21.541      4.39723    70560        3.00515        2.91328
   5       26.926      4.85988    68750        3.02416        2.92708
   6       32.311      5.25634    66960        3.04363        2.94490
   7       37.696      5.61673    65190        3.06362        2.96649
   8       43.081      5.82305    63440        3.08609        2.98734
   9       48.466      6.01653    61710        3.11245        3.00840
  10       53.852      6.21560    60000        3.13610        3.02194
  11       59.237      6.32236    58310        3.16463        3.02714
  12       64.622      6.39516    56640        3.18590        3.02677
  13       70.007      6.35148    54990        3.20193        3.02114
  14       75.392      6.29969    53360        3.21226        3.00682
  15       80.777      6.31120    51750        3.21817        2.99275
Semivariogram           tail:tb__real3    head:tb__real3     direction  2 
   1        5.385      3.23212    75990        2.92714        2.94072
   2       10.770      4.35838    74000        2.93397        2.96649
   3       16.155      5.33183    72030        2.92518        2.99450
   4       21.541      6.06883    70080        2.90473        3.01713
   5       26.926      6.65972    68150        2.88511        3.02570
   6       32.311      7.18418    66240        2.86108        3.02598
   7       37.696      7.58674    64350        2.83103        3.02860
   8       43.081      7.88525    62480        2.78877        3.02891
   9       48.466      7.85000    60630        2.73144        3.02396
  10       53.852      7.54232    58800        2.67259        3.02299
  11       59.237      7.06489    56990        2.60610        3.02784
  12       64.622      6.71847    55200        2.55446        3.04335
  13       70.007      6.55433    53430        2.52101        3.06564
  14       75.392      6.52926    51680        2.50260        3.09209
  15       80.777      6.59733    49950        2.48626        3.11807
