Semivariogram           tail:tb__real9    head:tb__real9     direction  1 
   1        5.385      2.53300    76110        2.87604        2.85158
   2       10.770      3.19690    74240        2.90155        2.85075
   3       16.155      3.86485    72390        2.92916        2.85333
   4       21.541      4.45411    70560        2.95451        2.86251
   5       26.926      4.94806    68750        2.97502        2.87593
   6       32.311      5.35208    66960        2.99493        2.89407
   7       37.696      5.74284    65190        3.00978        2.91351
   8       43.081      6.00722    63440        3.02819        2.93087
   9       48.466      6.31226    61710        3.04795        2.94882
  10       53.852      6.57020    60000        3.06798        2.95945
  11       59.237      6.74726    58310        3.09130        2.96212
  12       64.622      6.82747    56640        3.11058        2.96490
  13       70.007      6.77317    54990        3.12275        2.96726
  14       75.392      6.73651    53360        3.13017        2.96255
  15       80.777      6.74870    51750        3.13317        2.95342
Semivariogram           tail:tb__real9    head:tb__real9     direction  2 
   1        5.385      3.21723    75990        2.86511        2.88027
   2       10.770      4.45907    74000        2.87083        2.90964
   3       16.155      5.53433    72030        2.86050        2.93762
   4       21.541      6.31069    70080        2.84693        2.94987
   5       26.926      6.79431    68150        2.83535        2.95463
   6       32.311      7.25377    66240        2.81929        2.96083
   7       37.696      7.66112    64350        2.79700        2.97145
   8       43.081      7.95161    62480        2.75812        2.98348
   9       48.466      7.90077    60630        2.69981        2.99450
  10       53.852      7.59216    58800        2.62930        2.99516
  11       59.237      7.16162    56990        2.56079        2.99012
  12       64.622      6.84638    55200        2.49813        2.99536
  13       70.007      6.73631    53430        2.45542        3.00822
  14       75.392      6.76663    51680        2.43421        3.03370
  15       80.777      6.87582    49950        2.41861        3.07227
